,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'236ML                         '}),frozenset({'Appolo                        '}),0.025045433893684688,0.009706762077843404,0.0003454868998939876,0.013794406651549511,1.4211130901247224,0.00010237683195163521,1.0041448199049727
1,frozenset({'Appolo                        '}),frozenset({'236ML                         '}),0.009706762077843404,0.025045433893684688,0.0003454868998939876,0.0355923939541687,1.4211130901247222,0.00010237683195163521,1.010936205805891
2,frozenset({'236ML                         '}),frozenset({'Cakes                         '}),0.025045433893684688,0.009460661820384674,0.0002886945327881266,0.011526832955404383,1.21839604609561,5.174815257517559e-05,1.0020902652736616
3,frozenset({'Cakes                         '}),frozenset({'236ML                         '}),0.009460661820384674,0.025045433893684688,0.0002886945327881266,0.030515257628814404,1.21839604609561,5.174815257517559e-05,1.0056419905296823
4,frozenset({'236ML                         '}),frozenset({'Potato                        '}),0.025045433893684688,0.01080474784189005,0.00040227926699984857,0.016061980347694634,1.4865668854780925,0.000131669669187859,1.0053430525102205
5,frozenset({'Potato                        '}),frozenset({'236ML                         '}),0.01080474784189005,0.025045433893684688,0.00040227926699984857,0.0372317126587823,1.4865668854780925,0.000131669669187859,1.0126575406827651
6,frozenset({'236ML                         '}),frozenset({'Regular $8.5                  '}),0.025045433893684688,0.0020681887021051035,0.0006341814326821141,0.025321239606953892,12.243195981672608,0.0005823827492638752,1.0238571433478982
7,frozenset({'Regular $8.5                  '}),frozenset({'236ML                         '}),0.0020681887021051035,0.025045433893684688,0.0006341814326821141,0.30663615560640733,12.24319598167261,0.0005823827492638752,1.4061225920411213
8,frozenset({'236ML                         '}),frozenset({'SAINT HONORE                  '}),0.025045433893684688,0.006256625776162351,0.0009465394517643495,0.03779289493575208,6.040459552454366,0.0007898395444899517,1.0327749285924095
9,frozenset({'SAINT HONORE                  '}),frozenset({'236ML                         '}),0.006256625776162351,0.025045433893684688,0.0009465394517643495,0.151285930408472,6.040459552454365,0.0007898395444899517,1.1487432588168882
10,frozenset({'236ML                         '}),frozenset({'Tetra Pack                    '}),0.025045433893684688,0.02496971073754354,0.0006909737997879752,0.027588813303099022,1.1048911856883266,6.559656016639982e-05,1.0026934105668324
11,frozenset({'Tetra Pack                    '}),frozenset({'236ML                         '}),0.02496971073754354,0.025045433893684688,0.0006909737997879752,0.027672479150871877,1.1048911856883266,6.559656016639982e-05,1.0027018110676256
12,frozenset({'236ML                         '}),frozenset({'drink                         '}),0.025045433893684688,0.009791950628502195,0.0002744964410116614,0.010959939531368104,1.1192805138810802,2.9252788855285412e-05,1.001180931844472
13,frozenset({'drink                         '}),frozenset({'236ML                         '}),0.009791950628502195,0.025045433893684688,0.0002744964410116614,0.02803286611889802,1.1192805138810802,2.9252788855285412e-05,1.0030735938706943
